timestamp,red,ir
11478219,80046,112276
11488219,80061,112304
11498219,80062,112343
11508219,80079,112340
11518219,80072,112330
11528219,80072,112307
11538219,80071,112287
11548219,80059,112241
11558219,80052,112212
11568219,80027,112157
11578219,80023,112150
11588219,80019,112138
11599219,80011,112161
11609219,80026,112210
11619219,80032,112268
11629219,80043,112332
11639219,80068,112383
11649219,80067,112454
11659219,80093,112497
11669219,80108,112575
11679219,80119,112631
11689219,80135,112712
11699219,80165,112788
11709219,80180,112848
11719219,80192,112901
11729219,80210,112970
11739219,80216,112996
11749219,80225,113036
11759219,80230,113070
11769219,80234,113087
11779219,80238,113082
11790219,80226,113044
11800219,80202,112994
11810219,80198,112958
11820219,80176,112878
11830219,80150,112796
11840219,80127,112726
11850219,80115,112686
11860219,80107,112708
11870219,80123,112774
11880219,80141,112848
11890219,80163,112945
11900219,80194,113035
11910219,80214,113094
11920219,80222,113152
11930219,80234,113175
11940219,80237,113208
11950219,80245,113224
11960219,80249,113235
11970219,80243,113255
11981219,80252,113280
11991219,80257,113279
12001219,80254,113283
12011219,80247,113285
12021219,80249,113297
12031219,80259,113309
12041219,80259,113331
12051219,80268,113348
12061219,80269,113372
12071219,80269,113327
12081219,80264,113245
12091219,80242,113098
12101219,80182,112807
12111219,80096,112458
12121219,80015,112139
12131219,79922,111820
12141219,79865,111564
12151219,79791,111343
12161219,79737,111160
12172219,79711,111064
12182219,79674,110977
12192219,79656,110955
12202219,79655,110977
12212219,79662,111006
12222219,79687,111075
12232219,79701,111139
12242219,79716,111220
12252219,79725,111290
12262219,79756,111343
12272219,79765,111386
12282219,79782,111430
12292219,79794,111500
12302219,79819,111581
12312219,79838,111664
12322219,79851,111752
12332219,79870,111850
12342219,79900,111922
12352219,79912,111999
12363219,79932,112059
12373219,79934,112081
12383219,79941,112097
12393219,79953,112133
12403219,79949,112151
12413219,79961,112174
12423219,79980,112203
12433219,79975,112217
12443219,79967,112220
12453219,79982,112225
12463219,79991,112215
12473219,79991,112218
12483219,79990,112230
12493219,79986,112278
12503219,80006,112322
12513219,80014,112377
12523219,80032,112429
12533219,80042,112489
12543219,80041,112508
12554219,80054,112553
12564219,80056,112591
12574219,80062,112626
12584219,80084,112677
12594219,80086,112698
12604219,80092,112726
12614219,80106,112757
12624219,80110,112792
12634219,80122,112821
12644219,80133,112853
12654219,80148,112898
12664219,80154,112941
12674219,80157,112970
12684219,80160,112989
12694219,80169,112996
12704219,80180,113011
12714219,80167,113014
12724219,80170,113037
12734219,80177,113033
12745219,80172,113051
12755219,80168,113054
12765219,80181,113086
12775219,80179,113104
12785219,80174,113116
12795219,80198,113142
12805219,80188,113158
12815219,80194,113166
12825219,80209,113175
12835219,80216,113188
12845219,80211,113195
12855219,80215,113185
12865219,80213,113170
12875219,80194,113139
12885219,80186,113040
12895219,80157,112897
12905219,80115,112600
12915219,80016,112256
12925219,79913,111898
12936219,79843,111581
12946219,79756,111337
12956219,79715,111185
12966219,79676,111099
12976219,79656,111045
12986219,79658,111040
12996219,79661,111051
13006219,79664,111098
13016219,79682,111138
13026219,79706,111206
13036219,79716,111270
13046219,79736,111329
13056219,79756,111405
13066219,79771,111485
13076219,79795,111565
13086219,79815,111665
13096219,79835,111780
13106219,79866,111890
13117219,79891,111991
13127219,79917,112093
13137219,79939,112164
13147219,79956,112237
13157219,79973,112296
13167219,79981,112350
13177219,79993,112391
13187219,80004,112430
13197219,80021,112470
13207219,80025,112482
13217219,80032,112517
13227219,80043,112515
13237219,80045,112536
13247219,80045,112549
13257219,80048,112561
13267219,80045,112558
13277219,80042,112561
13287219,80045,112584
13297219,80047,112603
13308219,80064,112649
13318219,80059,112693
13328219,80073,112747
13338219,80087,112815
13348219,80090,112884
13358219,80110,112952
13368219,80135,113025
13378219,80143,113055
13388219,80145,113083
13398219,80157,113088
13408219,80170,113087
13418219,80161,113083
13428219,80165,113093
13438219,80168,113113
13448219,80168,113137
13458219,80178,113159
13468219,80173,113175
13478219,80169,113165
13488219,80175,113180
13499219,80178,113187
13509219,80185,113201
13519219,80178,113207
13529219,80188,113221
13539219,80192,113224
13549219,80192,113237
13559219,80196,113240
13569219,80191,113264
13579219,80203,113287
13589219,80205,113283
13599219,80204,113294
13609219,80210,113299
13619219,80209,113297
13629219,80200,113304
13639219,80202,113310
13649219,80209,113309
13659219,80207,113329
13669219,80199,113329
13679219,80208,113339
13690219,80210,113344
13700219,80205,113357
13710219,80217,113379
13720219,80211,113383
13730219,80211,113388
13740219,80208,113396
13750219,80213,113405
13760219,80222,113415
13770219,80213,113425
13780219,80235,113443
13790219,80231,113435
13800219,80227,113434
13810219,80220,113393
13820219,80206,113325
13830219,80190,113212
13840219,80141,113017
13850219,80077,112719
13860219,79996,112348
13871219,79911,112054
13881219,79847,111822
13891219,79780,111636
13901219,79735,111537
13911219,79730,111495
13921219,79719,111468
13931219,79720,111501
13941219,79739,111565
13951219,79744,111650
13961219,79773,111743
13971219,79797,111831
13981219,79837,111904
13991219,79849,111977
14001219,79871,112034
14011219,79881,112093
14021219,79900,112157
14031219,79915,112239
14041219,79932,112333
14051219,79949,112417
14062219,79973,112494
14072219,79986,112550
14082219,80000,112597
